date,value
2022-02-01,100.0
2022-02-02,100.0
2022-02-03,99.99
2022-02-04,100.83
2022-02-07,100.35
2022-02-08,100.86
2022-02-09,103.18
2022-02-10,102.04
2022-02-11,99.63
2022-02-14,99.75
2022-02-15,102.51
2022-02-16,102.57
2022-02-17,99.75
2022-02-18,98.34
2022-02-21,97.82
2022-02-22,96.46
2022-02-23,94.08
2022-02-24,96.89
2022-02-25,97.95
2022-02-28,99.24
2022-03-01,97.7
2022-03-02,99.45
2022-03-03,97.47
2022-03-04,96.02
2022-03-07,93.24
2022-03-08,93.19
2022-03-09,95.89
2022-03-10,95.37
2022-03-11,94.26
2022-03-14,92.65
2022-03-15,94.64
2022-03-16,98.64
2022-03-17,99.4
2022-03-18,101.88
2022-03-21,102.51
2022-03-22,104.45
2022-03-23,103.95
2022-03-24,105.74
2022-03-25,105.59
2022-03-28,107.03
2022-03-29,107.34
2022-03-30,106.11
2022-03-31,104.66
2022-04-01,105.58
2022-04-04,108.39
2022-04-05,106.75
2022-04-06,103.83
2022-04-07,103.84
2022-04-08,103.37
2022-04-11,100.78
2022-04-12,100.64
2022-04-13,102.74
2022-04-14,101.7
2022-04-19,103.08
2022-04-20,100.72
2022-04-21,99.21
2022-04-22,97.3
2022-04-25,97.5
2022-04-26,94.25
2022-04-27,95.07
2022-04-28,97.36
2022-04-29,94.76
2022-05-02,95.73
2022-05-03,96.32
2022-05-04,98.5
2022-05-05,94.31
2022-05-06,92.81
2022-05-09,88.64
2022-05-10,89.22
2022-05-11,87.54
2022-05-12,87.62
2022-05-13,91.33
2022-05-16,90.26
2022-05-17,91.98
2022-05-18,88.74
2022-05-19,88.26
2022-05-20,87.89
2022-05-23,88.41
2022-05-24,85.8
2022-05-25,87.37
2022-05-27,92.01
2022-05-30,92.0
2022-05-31,92.12
2022-06-01,91.89
2022-06-02,93.8
2022-06-03,91.77
2022-06-07,93.17
2022-06-08,92.72
2022-06-09,90.72
2022-06-10,88.51
2022-06-13,84.96
2022-06-14,85.04
2022-06-15,86.92
2022-06-17,83.39
2022-06-20,83.35
2022-06-21,85.51
2022-06-22,84.55
2022-06-23,84.98
2022-06-24,87.33
2022-06-27,87.16
2022-06-28,85.93
2022-06-29,85.32
2022-06-30,84.21
2022-07-01,84.76
2022-07-04,84.62
2022-07-05,85.85
2022-07-06,86.58
2022-07-07,89.59
2022-07-08,90.07
2022-07-11,88.35
2022-07-12,87.57
2022-07-13,87.23
2022-07-14,87.29
2022-07-15,88.32
2022-07-18,87.88
2022-07-19,89.81
2022-07-20,91.15
2022-07-21,92.61
2022-07-22,91.26
2022-07-25,90.86
2022-07-26,89.88
2022-07-27,92.64
2022-07-28,94.31
2022-07-29,96.2
2022-08-01,95.65
2022-08-02,96.3
2022-08-03,98.59
2022-08-04,98.67
2022-08-05,97.75
2022-08-08,96.78
2022-08-09,95.39
2022-08-10,96.88
2022-08-11,96.54
2022-08-12,99.19
2022-08-15,100.12
2022-08-16,100.17
2022-08-17,99.16
2022-08-18,99.63
2022-08-19,98.27
2022-08-22,96.58
2022-08-23,96.64
2022-08-24,96.87
2022-08-25,98.57
2022-08-26,95.01
2022-08-29,94.27
2022-08-30,93.08
2022-08-31,91.68
2022-09-01,91.67
2022-09-02,90.71
2022-09-05,91.13
2022-09-06,90.71
2022-09-07,91.77
2022-09-08,92.39
2022-09-09,93.68
2022-09-12,94.22
2022-09-13,91.13
2022-09-14,91.92
2022-09-15,90.64
2022-09-16,89.59
2022-09-19,90.03
2022-09-20,89.35
2022-09-21,89.23
2022-09-22,88.06
2022-09-23,86.45
2022-09-26,86.36
2022-09-27,87.01
2022-09-28,88.13
2022-09-29,84.61
2022-09-30,83.7
2022-10-04,86.46
2022-10-05,86.54
2022-10-06,86.23
2022-10-07,83.75
2022-10-10,83.66
2022-10-11,82.51
2022-10-12,82.61
2022-10-13,84.16
2022-10-14,81.66
2022-10-17,83.73
2022-10-18,84.2
2022-10-19,84.13
2022-10-20,83.47
2022-10-21,85.52
2022-10-24,85.38
2022-10-25,86.66
2022-10-26,85.64
2022-10-27,85.22
2022-10-28,86.69
2022-10-31,86.74
2022-11-01,86.6
2022-11-02,84.49
