date,value
2020-01-02,43.938
2020-01-03,44.59
2020-01-06,44.902
2020-01-07,45.324
2020-01-08,45.348
2020-01-09,44.876
2020-01-10,45.126
2020-01-13,44.802
2020-01-14,44.58
2020-01-15,44.688
2020-01-16,44.796
2020-01-17,45.154
2020-01-20,45.298
2020-01-21,45.132
2020-01-22,45.158
2020-01-23,45.604
2020-01-24,45.882
2020-01-27,46.164
2020-01-28,45.828
2020-01-29,45.912
2020-01-30,46.15
2020-01-31,46.046
2020-02-03,45.88
2020-02-04,45.246
2020-02-05,45.588
2020-02-06,45.808
2020-02-07,45.984
2020-02-10,46.416
2020-02-11,46.092
2020-02-12,46.304
2020-02-13,46.706
2020-02-14,46.926
2020-02-17,46.964
2020-02-18,47.66
2020-02-19,47.828
2020-02-20,48.35
2020-02-21,48.576
2020-02-24,49.526
2020-02-25,48.71
2020-02-26,48.394
2020-02-27,48.41
2020-02-28,46.402
2020-03-02,45.964
2020-03-03,47.156
2020-03-04,47.454
2020-03-05,47.71
2020-03-06,47.36
2020-03-09,46.798
2020-03-10,46.964
2020-03-11,47.018
2020-03-12,45.658
2020-03-13,44.0
2020-03-16,43.508
2020-03-17,44.858
2020-03-18,44.15
2020-03-19,44.0
2020-03-20,44.784
2020-03-23,46.23
2020-03-24,49.0
2020-03-25,48.158
2020-03-26,47.57
2020-03-27,47.2
2020-03-30,47.308
2020-03-31,47.15
2020-04-01,46.698
2020-04-02,47.774
2020-04-03,48.214
2020-04-06,48.98
2020-04-07,48.892
2020-04-08,48.922
2020-04-09,49.348
2020-04-14,50.91
2020-04-15,50.555
2020-04-16,51.205
2020-04-17,50.12
2020-04-20,50.11
2020-04-21,49.546
2020-04-22,50.87
2020-04-23,51.485
2020-04-24,51.22
2020-04-27,50.835
2020-04-28,50.645
2020-04-29,50.56
2020-04-30,50.11
2020-05-04,50.27
2020-05-05,50.5
2020-05-06,50.36
2020-05-07,50.75
2020-05-08,50.8
2020-05-11,50.515
2020-05-12,50.545
2020-05-13,50.9
2020-05-14,51.585
2020-05-15,51.955
2020-05-18,51.365
2020-05-19,51.22
2020-05-20,51.14
2020-05-21,50.615
2020-05-22,51.105
2020-05-25,51.14
2020-05-26,50.28
2020-05-27,49.882
2020-05-28,50.08
2020-05-29,50.13
2020-06-02,49.844
2020-06-03,48.634
2020-06-04,48.722
2020-06-05,47.758
