date,value
2011-07-19,2.0904
2011-07-20,2.1028
2011-07-21,2.1056
2011-07-22,2.112
2011-07-25,2.1076
2011-07-26,2.0892
2011-07-27,2.0764
2011-07-28,2.0828
2011-08-01,2.05
2011-08-03,2.0024
2011-08-05,1.8856
2011-08-09,1.772
2011-08-10,1.7888
2011-08-11,1.7888
2011-08-12,1.8412
2011-08-15,1.862
2011-08-16,1.8708
2011-08-17,1.8724
2011-08-19,1.78
2011-08-22,1.774
2011-08-23,1.7904
2011-08-24,1.8144
2011-08-25,1.8116
2011-08-26,1.808
2011-08-29,1.836
2011-08-30,1.8636
2011-08-31,1.896
2011-09-01,1.914
2011-09-02,1.87
2011-09-06,1.8284
2011-09-08,1.8952
2011-09-09,1.868
2011-09-12,1.8404
2011-09-13,1.8568
2011-09-14,1.8656
2011-09-15,1.8836
2011-09-16,1.9076
2011-09-19,1.886
2011-09-20,1.9156
2011-09-21,1.8816
2011-09-23,1.812
2011-09-26,1.822
2011-09-28,1.8672
2011-09-29,1.8592
2011-09-30,1.842
2011-10-03,1.8428
2011-10-06,1.8692
2011-10-07,1.8776
2011-10-10,1.8984
2011-10-11,1.9064
2011-10-12,1.924
2011-10-13,1.9044
2011-10-14,1.9156
2011-10-17,1.9196
2011-10-18,1.9156
2011-10-19,1.9296
2011-10-20,1.9032
2011-10-21,1.93
2011-10-24,1.9572
2011-10-25,1.9428
2011-10-26,1.9404
2011-10-27,1.9832
2011-10-28,1.9992
2011-10-31,1.9812
2011-11-01,1.9376
2011-11-02,1.9536
2011-11-03,1.9796
2011-11-04,1.9704
2011-11-07,1.972
2011-11-08,1.9804
2011-11-09,1.9804
2011-11-10,1.9636
2011-11-11,1.9852
2011-11-14,1.9904
2011-11-15,1.986
2011-11-16,1.994
2011-11-17,1.9648
2011-11-18,1.9428
2011-11-22,1.8836
2011-11-23,1.868
2011-11-24,1.862
2011-11-25,1.8824
2011-11-28,1.9244
2011-11-29,1.9364
2011-11-30,1.99
2011-12-01,1.9828
2011-12-02,2.0092
2011-12-05,2.0172
2011-12-06,2.0092
2011-12-07,2.01
2011-12-08,1.9928
2011-12-09,2.002
2011-12-12,1.9868
2011-12-13,2.0148
2011-12-14,1.9784
2011-12-15,1.9856
2011-12-16,1.9836
2011-12-19,1.9708
2011-12-20,2.0024
2011-12-21,2.0012
2011-12-22,2.0228
2011-12-23,2.044
2011-12-27,2.0396
2011-12-28,2.0328
