date,value
2015-09-21,23.53
2015-09-22,23.07
2015-09-23,23.12
2015-09-24,22.57
2015-09-25,23.23
2015-09-28,22.56
2015-09-29,22.22
2015-09-30,22.7
2015-10-01,22.67
2015-10-02,22.67
2015-10-05,23.35
2015-10-06,23.15
2015-10-07,23.05
2015-10-08,23.01
2015-10-09,23.1
2015-10-12,23.18
2015-10-13,23.24
2015-10-14,22.79
2015-10-15,23.06
2015-10-16,23.41
2015-10-19,23.62
2015-10-20,23.4
2015-10-21,23.35
2015-10-22,23.7
2015-10-23,24.38
2015-10-26,24.44
2015-10-27,24.36
2015-10-28,24.54
2015-10-29,24.72
2015-10-30,24.6
2015-11-02,24.58
2015-11-03,24.72
2015-11-04,24.83
2015-11-05,25.01
2015-11-06,25.23
2015-11-09,24.94
2015-11-10,25.23
2015-11-11,25.36
2015-11-12,25.07
2015-11-13,24.85
2015-11-16,24.73
2015-11-17,25.35
2015-11-18,25.38
2015-11-19,25.31
2015-11-20,25.69
2015-11-23,25.85
2015-11-24,25.59
2015-11-25,25.81
2015-11-26,25.94
2015-11-27,25.87
2015-11-30,25.8
2015-12-01,25.8
2015-12-02,25.98
2015-12-03,25.02
2015-12-04,25.05
2015-12-07,25.16
2015-12-08,24.99
2015-12-09,24.75
2015-12-10,24.71
2015-12-11,24.23
2015-12-14,23.96
2015-12-15,24.66
2015-12-16,24.67
2015-12-17,25.1
2015-12-18,24.75
2015-12-21,24.52
2015-12-22,24.49
2015-12-23,24.91
2015-12-28,24.64
2015-12-29,25.26
2015-12-30,25.18
2016-01-04,24.45
2016-01-05,24.85
2016-01-06,24.66
2016-01-07,24.13
2016-01-08,23.61
2016-01-11,23.68
2016-01-12,23.84
2016-01-13,23.93
2016-01-14,23.33
2016-01-15,22.86
2016-01-18,22.95
2016-01-19,23.18
2016-01-20,22.49
2016-01-21,23.12
2016-01-22,23.49
2016-01-25,23.5
2016-01-26,23.45
2016-01-27,23.53
2016-01-28,23.22
2016-01-29,23.9
2016-02-01,24.01
2016-02-02,23.82
2016-02-03,23.06
2016-02-04,22.71
2016-02-05,22.29
2016-02-08,21.51
2016-02-09,21.45
2016-02-10,21.87
2016-02-11,21.15
2016-02-12,21.77
2016-02-15,22.29
2016-02-16,22.22
2016-02-17,22.67
2016-02-18,22.78
2016-02-19,22.7
2016-02-22,23.25
2016-02-23,23.07
2016-02-24,22.75
2016-02-25,23.3
2016-02-26,23.68
2016-02-29,23.82
2016-03-01,24.02
2016-03-02,24.07
2016-03-03,23.74
2016-03-04,23.79
2016-03-07,23.62
2016-03-08,23.44
2016-03-09,23.5
2016-03-10,23.12
2016-03-11,23.6
2016-03-14,23.83
2016-03-15,23.75
2016-03-16,23.82
2016-03-17,23.49
2016-03-18,23.67
2016-03-21,23.63
2016-03-22,23.76
2016-03-23,23.86
2016-03-24,23.69
2016-03-29,23.94
2016-03-30,23.96
2016-03-31,23.79
2016-04-01,23.75
2016-04-04,23.73
2016-04-05,23.5
2016-04-06,23.65
2016-04-07,23.56
2016-04-08,23.6
2016-04-11,23.54
2016-04-12,23.65
2016-04-13,24.09
2016-04-14,24.19
2016-04-15,24.06
2016-04-18,24.15
2016-04-19,24.15
2016-04-20,24.3
2016-04-21,24.23
2016-04-22,24.02
2016-04-25,23.97
2016-04-26,23.97
2016-04-27,23.93
2016-04-28,24.04
2016-04-29,23.44
2016-05-02,23.63
2016-05-03,23.5
2016-05-04,23.46
2016-05-05,23.69
2016-05-06,23.59
2016-05-09,23.87
2016-05-10,24.21
2016-05-11,24.08
2016-05-12,24.04
2016-05-13,24.3
2016-05-17,24.12
2016-05-18,24.12
2016-05-19,24.01
2016-05-20,24.32
2016-05-23,24.22
2016-05-24,24.62
2016-05-25,24.71
2016-05-26,24.7
2016-05-27,24.88
2016-05-30,24.92
2016-05-31,24.81
2016-06-01,24.71
2016-06-02,24.79
2016-06-03,24.57
2016-06-06,24.61
2016-06-07,24.73
2016-06-08,24.67
2016-06-09,24.8
2016-06-10,24.8
2016-06-13,24.61
2016-06-14,24.6
2016-06-15,24.59
2016-06-16,24.72
2016-06-17,24.42
2016-06-20,24.72
2016-06-21,24.79
2016-06-22,24.78
2016-06-23,24.74
2016-06-24,24.81
2016-06-27,24.63
2016-06-28,24.83
2016-06-29,25.15
2016-06-30,25.41
2016-07-01,25.56
2016-07-04,25.62
2016-07-05,25.66
2016-07-06,25.69
2016-07-07,25.76
2016-07-08,25.99
2016-07-11,26.2
2016-07-12,26.15
2016-07-13,26.01
2016-07-14,26.07
2016-07-15,26.13
2016-07-18,26.11
2016-07-19,26.27
2016-07-20,26.41
2016-07-21,26.31
2016-07-22,26.42
2016-07-25,26.36
2016-07-26,26.3
2016-07-27,26.21
2016-07-28,25.97
2016-07-29,26.03
2016-08-01,25.99
2016-08-02,25.73
2016-08-03,25.8
2016-08-04,26.0
2016-08-05,26.06
2016-08-08,26.07
2016-08-09,26.05
2016-08-10,25.86
2016-08-11,26.06
2016-08-12,26.06
2016-08-15,25.99
2016-08-16,25.64
2016-08-17,25.49
2016-08-18,25.59
2016-08-19,25.48
2016-08-22,25.45
2016-08-23,25.55
2016-08-24,25.54
2016-08-25,25.45
2016-08-26,25.56
2016-08-29,25.6
2016-08-30,25.53
2016-08-31,25.36
2016-09-01,25.28
2016-09-02,25.67
2016-09-05,25.76
2016-09-06,25.66
2016-09-07,25.64
2016-09-08,25.58
2016-09-09,25.26
2016-09-12,25.02
2016-09-13,24.81
2016-09-14,24.74
2016-09-15,24.98
2016-09-16,25.01
2016-09-19,25.18
2016-09-20,25.17
2016-09-21,25.23
2016-09-22,25.49
2016-09-23,25.47
2016-09-26,25.18
2016-09-27,25.34
2016-09-28,25.34
2016-09-29,25.44
2016-09-30,25.46
2016-10-04,25.4
2016-10-05,25.1
2016-10-06,25.06
2016-10-07,25.02
2016-10-10,25.22
2016-10-11,25.12
2016-10-12,25.26
2016-10-13,25.16
2016-10-14,25.39
2016-10-17,25.29
2016-10-18,25.44
2016-10-19,25.58
2016-10-20,25.5
2016-10-21,25.53
2016-10-24,25.51
2016-10-25,25.54
2016-10-26,25.38
2016-10-27,25.27
2016-10-28,25.33
2016-10-31,25.26
2016-11-01,24.95
2016-11-02,24.68
2016-11-03,24.65
2016-11-04,24.63
2016-11-07,24.98
2016-11-08,25.21
2016-11-09,25.43
2016-11-10,25.31
2016-11-11,25.22
2016-11-14,25.32
2016-11-15,25.5
2016-11-16,25.69
2016-11-17,25.84
2016-11-18,25.91
2016-11-21,26.08
2016-11-22,26.09
2016-11-23,26.3
2016-11-24,26.38
2016-11-25,26.38
2016-11-28,26.41
2016-11-29,26.39
2016-11-30,26.45
2016-12-01,26.0
