date,value
2008-06-26,38.1867
2008-06-27,38.1229
2008-06-30,38.1543
2008-07-01,37.8149
2008-07-02,37.2576
2008-07-03,37.3617
2008-07-07,37.2841
2008-07-08,37.3548
2008-07-09,36.9202
2008-07-10,36.8594
2008-07-11,36.6995
2008-07-14,36.5759
2008-07-15,36.0128
2008-07-16,36.7505
2008-07-17,37.2234
2008-07-18,37.185
2008-07-21,37.3008
2008-07-22,37.5088
2008-07-23,37.8022
2008-07-24,36.9683
2008-07-25,37.1282
2008-07-28,36.5376
2008-07-29,36.8898
2008-07-30,37.5088
2008-07-31,37.1282
2008-08-01,36.9123
2008-08-04,36.3719
2008-08-05,37.2666
2008-08-06,37.5166
2008-08-07,36.6603
2008-08-08,37.1438
2008-08-11,37.3675
2008-08-12,36.8535
2008-08-13,36.4474
2008-08-14,36.6073
2008-08-15,36.5759
2008-08-18,35.9696
2008-08-19,35.6596
2008-08-20,35.9814
2008-08-21,36.2571
2008-08-22,36.4533
2008-08-25,35.7842
2008-08-26,35.9696
2008-08-27,36.0128
2008-08-28,36.773
2008-08-29,36.4474
2008-09-02,35.4281
2008-09-03,35.5527
2008-09-04,34.2421
2008-09-05,34.0174
2008-09-08,34.9818
2008-09-09,34.1117
2008-09-10,34.3864
2008-09-11,34.3667
2008-09-12,34.7503
2008-09-15,33.324
2008-09-16,33.8773
2008-09-17,32.0486
2008-09-18,33.7349
2008-09-19,35.744
2008-09-22,34.4511
2008-09-23,34.6737
2008-09-24,33.578
2008-09-25,34.5345
2008-09-26,34.865
2008-09-29,32.6539
2008-09-30,33.1258
2008-10-01,32.6402
2008-10-02,30.8823
2008-10-03,30.6136
2008-10-06,29.1498
2008-10-07,27.8128
2008-10-08,27.3781
2008-10-09,26.0706
2008-10-10,25.2465
2008-10-13,28.6417
2008-10-14,29.249
2008-10-15,25.6997
2008-10-16,26.3119
2008-10-17,26.0549
2008-10-20,27.8785
2008-10-21,26.1569
2008-10-22,24.2342
2008-10-23,24.1851
2008-10-24,24.0045
2008-10-27,22.6656
2008-10-28,24.0272
2008-10-29,25.8008
2008-10-30,26.0225
2008-10-31,26.0225
2008-11-03,26.0362
2008-11-04,27.44
2008-11-05,26.0009
2008-11-06,24.4697
2008-11-07,25.6635
2008-11-10,25.4221
2008-11-11,24.4137
2008-11-12,23.2994
2008-11-13,25.0365
2008-11-14,23.5436
2008-11-17,23.3415
2008-11-18,23.5122
2008-11-19,21.9564
2008-11-20,20.4996
2008-11-21,22.1103
2008-11-24,23.259
2008-11-25,23.4964
2008-11-26,24.0675
2008-11-28,24.2508
2008-12-01,22.2574
2008-12-02,23.3228
2008-12-03,23.7947
2008-12-04,22.9019
2008-12-05,23.6358
2008-12-08,24.6138
2008-12-09,24.2606
2008-12-10,24.755
2008-12-11,24.3843
2008-12-12,24.6069
2008-12-15,24.4137
2008-12-16,25.7479
2008-12-17,25.6223
2008-12-18,24.8287
2008-12-19,24.7384
2008-12-22,24.4697
2008-12-23,24.2439
2008-12-24,24.2439
2008-12-26,24.4529
2008-12-29,24.4372
2008-12-30,25.0768
2008-12-31,25.4005
2009-01-02,26.0842
2009-01-05,26.1628
2009-01-06,26.0706
2009-01-07,25.4918
2009-01-08,25.4084
2009-01-09,24.7933
2009-01-12,24.1635
2009-01-13,23.9546
2009-01-14,23.1109
2009-01-15,23.3818
2009-01-16,23.6661
2009-01-20,21.9289
2009-01-21,23.1021
2009-01-22,22.6597
2009-01-23,22.6891
2009-01-26,22.8432
2009-01-27,23.2816
2009-01-28,23.9978
2009-01-29,22.9756
2009-01-30,22.642
2009-02-02,22.6037
2009-02-03,23.0511
2009-02-04,22.8863
2009-02-05,23.8889
2009-02-06,24.0272
2009-02-09,23.9623
2009-02-10,22.8432
2009-02-11,23.005
2009-02-12,22.9521
2009-02-13,22.8617
2009-02-17,21.6394
2009-02-18,21.5081
2009-02-19,21.4501
2009-02-20,20.7958
2009-02-23,20.4633
2009-02-24,21.2627
2009-02-25,20.9557
2009-02-26,20.8115
2009-02-27,20.4849
2009-03-02,19.4382
2009-03-03,19.2753
2009-03-04,20.0934
2009-03-05,19.2665
2009-03-06,19.2008
2009-03-09,18.8701
2009-03-10,20.2101
2009-03-11,20.2239
2009-03-12,20.9724
2009-03-13,21.5678
2009-03-16,21.097
2009-03-17,21.7169
2009-03-18,22.228
2009-03-19,22.1103
2009-03-20,21.7101
2009-03-23,23.3895
2009-03-24,22.7186
2009-03-25,23.0374
2009-03-26,23.4307
2009-03-27,22.7833
2009-03-30,21.8405
2009-03-31,22.2986
2009-04-01,22.7666
2009-04-02,23.7299
2009-04-03,23.8349
2009-04-06,23.5906
2009-04-07,23.0511
2009-04-08,23.415
2009-04-09,24.2263
2009-04-13,24.3754
2009-04-14,24.0419
2009-04-15,24.3362
2009-04-16,24.6226
2009-04-17,24.5795
2009-04-20,23.4532
2009-04-21,23.9761
2009-04-22,23.8349
2009-04-23,24.3362
2009-04-24,24.6069
2009-04-27,24.3313
2009-04-28,24.1312
2009-04-29,24.7609
2009-04-30,24.9855
2009-05-01,25.2789
2009-05-04,26.2471
2009-05-05,26.0942
2009-05-06,26.511
2009-05-07,26.205
2009-05-08,27.1418
2009-05-11,26.357
2009-05-12,26.5031
2009-05-13,25.7302
2009-05-14,25.9253
2009-05-15,25.7841
2009-05-18,26.7856
2009-05-19,26.8936
2009-05-20,26.8789
2009-05-21,26.6317
2009-05-22,26.7229
2009-05-26,27.2802
2009-05-27,26.8181
2009-05-28,27.2477
2009-05-29,27.6322
2009-06-01,28.4504
2009-06-02,28.4023
2009-06-03,27.8128
2009-06-04,28.0786
2009-06-05,27.9403
2009-06-08,27.8128
2009-06-09,28.059
2009-06-10,27.9697
2009-06-11,28.3965
2009-06-12,28.3189
2009-06-15,27.4557
2009-06-16,27.0869
2009-06-17,26.9701
2009-06-18,27.0348
2009-06-19,27.1094
2009-06-22,26.2775
2009-06-23,26.5631
2009-06-24,26.8112
2009-06-25,27.3781
2009-06-26,27.3949
2009-06-29,27.6166
2009-06-30,27.1556
2009-07-01,27.6411
2009-07-02,26.8249
2009-07-06,26.7856
2009-07-07,26.2471
2009-07-08,26.1776
2009-07-09,26.407
2009-07-10,26.2855
2009-07-13,26.7936
2009-07-14,26.9701
2009-07-15,27.8952
2009-07-16,28.0296
2009-07-17,28.0855
2009-07-20,28.6181
2009-07-21,28.6181
2009-07-22,28.7025
2009-07-23,29.3421
2009-07-24,29.4186
2009-07-27,29.5294
2009-07-28,29.4048
2009-07-29,29.087
2009-07-30,29.6845
2009-07-31,29.9082
2009-08-03,30.5516
2009-08-04,30.4506
2009-08-05,30.4203
2009-08-06,30.2211
2009-08-07,30.4359
2009-08-10,30.2446
2009-08-11,29.9199
2009-08-12,30.2534
2009-08-13,30.6273
2009-08-14,30.3153
2009-08-17,29.4128
2009-08-18,29.813
2009-08-19,29.9346
2009-08-20,30.2829
2009-08-21,30.8979
2009-08-24,30.9353
2009-08-25,31.0206
2009-08-26,30.9195
